nombre-pelicula;año;tipo-largometraje;duracion-min;tipo-filme;color;director-01;idioma;consol-idioma;lugar-prod;consol-lugar-prod;pais-rodaje;consol-pais-rodaje;lugar-estreno;pais-estreno;sinopsis;Columna1;Columna2;Columna3;Columna4;Columna5;Columna6;Columna7;Columna8;Columna9;Columna10;Columna11;Columna12;Columna13;Columna14;Columna15;Columna16;Columna17;Columna18;Columna19;Columna20;Columna21;Columna22;Columna23;Columna24;Columna25;Columna26;Columna27;Columna28;Columna29;Columna30;Columna31;Columna32;Columna33;Columna34;Columna35;Columna36;Columna37;Columna38;Columna39;Columna40;Columna41;Columna42;Columna43;Columna44;Columna45;Columna46;Columna47;Columna48;Columna49;Columna50;Columna51;Columna52;Columna53;Columna54;Columna55;Columna56;Columna57;Columna58;Columna59;Columna60;Columna61;Columna62;Columna63;Columna64;Columna65;Columna66;Columna67;Columna68;Columna69;Columna70;Columna71;Columna72;Columna73;Columna74;Columna75;Columna76;Columna77;Columna78;Columna79;Columna80;Columna81;Columna82;Columna83;Columna84;Columna85;Columna86;Columna87;Columna88;Columna89;Columna90;Columna91;Columna92;Columna93;Columna94;Columna95;Columna96;Columna97;Columna98;Columna99;Columna100;Columna101;Columna102;Columna103;Columna104;Columna105;Columna106;Columna107;Columna108;Columna109;Columna110;Columna111;Columna112;Columna113;Columna114;Columna115;Columna116;Columna117;Columna118;Columna119;Columna120;Columna121;Columna122;Columna123;Columna124;Columna125;Columna126;Columna127;Columna128;Columna129;Columna130;Columna131;Columna132;Columna133;Columna134;Columna135;Columna136;Columna137;Columna138;Columna139;Columna140;Columna141;Columna142;Columna143;Columna144;Columna145;Columna146;Columna147;Columna148;Columna149;Columna150;Columna151;Columna152;Columna153;Columna154;Columna155;Columna156;Columna157;Columna158;Columna159;Columna160;Columna161;Columna162;Columna163;Columna164;Columna165;Columna166;Columna167;Columna168;Columna169;Columna170;Columna171;Columna172;Columna173;Columna174;Columna175;Columna176;Columna177;Columna178;Columna179;Columna180;Columna181;Columna182;Columna183;Columna184;Columna185;Columna186;Columna187;Columna188;Columna189;Columna190;Columna191;Columna192;Columna193;Columna194;Columna195;Columna196;Columna197;Columna198;Columna199;Columna200;Columna201;Columna202;Columna203;Columna204;Columna205;Columna206;Columna207;Columna208;Columna209;Columna210;Columna211;Columna212;Columna213;Columna214;Columna215;Columna216;Columna217;Columna218;Columna219;Columna220;Columna221;Columna222;Columna223;Columna224;Columna225;Columna226;Columna227;Columna228;Columna229;Columna230;Columna231;Columna232;Columna233;Columna234;Columna235;Columna236;Columna237;Columna238;Columna239;Columna240
Taxi para tres ;2001;Largometraje de ficción ;90; 35 mm ; Color;Orlando Lübbert;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Esta comedia negra narra la odisea del taxista Ulises que cree poder salir de sus estrecheces haciéndose cómplice de sus asaltantes. El dinero fácil lo saca de su ruta: en algún lugar del barrio alta está el gran botín que les permitirá pagar el Lada. Tras varios asaltos fallidos y agobiados por la “Tolerancia Cero”, los asaltantes de pacotilla terminan metidos en la casa de Ulises, en su intimidad y en la de Javiera, su hija regalona. Eso es mucho para el taxista, quien decide cortar sus lazos de manera radical.(Fuente: Catálogo Dirac);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chacabuco, memoria del silencio ;2001;Largometraje documental ;85; Betacam SP ; Color;Gastón Ancelovici;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Este documental relata las vivencias y recuerdos de un grupo de ex-detenidos que retornan a Chacabuco, una abandonada oficina salitrera en el norte de Chile, donde estuvieron presos varios meses tras el golpe militar. El músico Angel Parra, los poetas Jorge Montealegre y Rafael Salas, el doctor Mariano Requena, los arquitectos Adam Policzer y Andrés Crisosto, evocan diferentes historias. A ellos se suma el relato de Roberto Zaldívar, actual cuidador de Chacabuco y del escritor Hernán Rivera Letelier, quien en esa época fue testigo visual del levantamiento del campo.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Un ladrón y su mujer ;2001;Largometraje de ficción ;80; 35 mm ; Color;Rodrigo Sepúlveda;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Francisco Córdoba es sorprendido robando un maletín a un caballero en una estación de trenes en el sur deChile Es encarcelado y rápidamente se transforma, gracias a su simpatía, en un personaje popular en el recinto. Su mujer, Ana, decide inmediatamente ir a su encuentro. Esa tarde se ha preparado una fuga del penal. Córdoba con la ayuda de dos compañeros de celda huyen por los bosques. Amanece. Ana llega a la cárcel y los gendarmes sorprendidos por su presencia, deciden arrestarla. Esto da pié a un monólogo de amor en el cual Ana se declara a Francisco a quién ella cree muerto.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I love Pinochet ;2001;Largometraje documental ;52; DVCam ; Color;Marcela Said Cares;Español;Español;Chile,  Francia;Chile y otro;Chile;Chile;NI;NI;I love Pinochet es una película documental construida a través de diversos testimonios que permiten dar cuenta de la complejidad del fenómeno pinochetista enChile Una mirada sobre el sistema social y político dejado por Pinochet revelado a través de los retratos de aquellos hombres y mujeres –de todas las clases sociales- que creen en la perennidad de un sistema autoritario y ultraliberal. (Catálogo ADOC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La reina del Aconcagua ;2001;Largometraje documental ;82; Video ; Color;Claudio Mercado;Español;Español;Chile;Chile;Chile;Chile;NI;NI;La tradición de los bailes chinos del valle del Aconcagua, en la zona central de Chile, tiene sus orígenes en la población indígena que habitaban la zona antes de la llegada de los españoles. Los actuales campesinos y pescadores celebran su calendario ritual realizando fiestas de chinos, a las que acuden bailes de distintos pueblos. A la Virgen del Carmen de Petorquina asiste, entre otros bailes, el baile de Pucalán. La fuerza y la potencia del sonido y de la danza se entrelazan a las vivencias de los chinos, sus motivaciones, sus problemas. La amistad de años de los realizadores con los chinos hace que este documental nos acerque a una parte muy íntima de estos hombres. Chino es una palabra quechua que significa servidor.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Negocio redondo ;2001;Largometraje de ficción ;95; 35 mm ; Color;Ricardo Carrasco Farfán;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Luego de una larga ausencia, el Negro Torres regresa a su pueblo natal, en Cunco, para asistir al funeral de su madre. Allá, sus viejos compinches le proponen montar un negocio para comprar mariscos y luego venderlos. Luego de improvisar los preparativos, pero al volver al pueblo con los mariscos, descubren la gran sorpresa que el destino les tenía guardada.(Fuente: Catálogo Dirac);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chico ;2001;Largometraje de ficción ;114; 35 mm ; Color;Ibolya Fekete;Español, Hungaro, Inglés, Serbio;Español y otro;Alemania,  Chile,  Croacia,  Hungría;Chile y otro;Albania, Chile, Croacia, Hungría;Chile y otro;NI;NI;Narra las aventuras de un boliviano, con raíces judías, húngaras e hispanas, que es criado por su padre como un verdadero comunista y, que la vida lo lleva a involucrarse de distinta forma en las revoluciones latinoamericanas, durante los años sesenta y setenta, el conflicto en Hungría en los ochenta y la guerra en los Balcanes en 1991.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time’s Up ;2001;Largometraje de ficción ;90; 35 mm ; Color;Cecilia Barriga;Español,  Inglés;Español y otro;Chile,  Estados Unidos;Chile y otro;Estados Unidos;Otro;NI;NI;"Rebeca Kaplan es una peculiar psicoterapeuta argentina que asiste a sus pacientes en una casa rodante por toda New York. Sus pacientes son muy diversos: Mr Roy, obsesionado con los olores del sexo; Jimmy, adicto al CNN; Wendy, quien tiene sueños eróticos con Hillary Clinton; Sue Ying, una escritora adicta a la bebida. Rebeca está dispuesta a tomar unas largas vacaciones en la Polinesia, pero Mike, un ""paciente asesino"", quien descubre su oscuro pasado, le hace considerar la posibilidad de volver a Argentina. (Fuente: Catálogo Dirac)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La tercera oreja ;2001;Largometraje de ficción ;50; 35 mm ; Color;Nicolás Acuña;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Un director de orquesta sufre un gran accidente en el que pierde la conciencia, y también su corazón. En una búsqueda frenética, que lo lleva a pasar por barcos griegos, japoneses y suecos, trata de encontrar su esencia y su centro. Finalmente esto lo lleva a concluir que no entiende nada, no sabe nada, ni tiene nada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nema problema ;2001;Largometraje documental ;62; DVCam ; Color;Cristián Leighton;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Un grupo de veintiséis refugiados provenientes de la ex Yugoslavia arriban a Chile en Junio de 1999. Ellos buscan una tierra que les devuelva la esperanza. Cuando el plazo de reinserción se va extinguiendo, cada uno de ellos debe ir tomando una decisión: quedarse en Chile o regresar a la tierra que no los quiere. (Catálogo ADOC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
La hija de O’Higgins ;2001;Largometraje documental ;57; Digital ; Color;Pamela Pequeño;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Una historia familiar transmitida a través de generaciones, culmina con el descubrimiento de la hija ilegítima de uno de los máximos próceres de nuestra independencia, Bernardo O’Higgins Riquelme. A través de la historia de Petronila Riquelme y O’Higgins –la hija de origen mapuche- se revelan algunos aspectos desconocidos de la vida de O’Higgins y se inicia una búsqueda por Chile y Perú de los rastros de esta historia que aún permanecen. Búsqueda que encuentra opositores y que también involucra a la realizadora, ya que es la historia de su familia. Petronila es su tatarabuela.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Un hombre aparte ;2001;Largometraje documental ;60; DVCam ; Color;Bettina Perut;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Uno de los hombres que aparecían en Chi-chi-chi Le-le-le Martín Vargas de Chile era el empresario boxeril Ricardo Liaño, que ha conocido tiempos mejores y fue varias veces ""millonario en dólares"" como él mismo lo recuerda. Un hombre aparte le está enteramente dedicada, siguiéndolo mientras prepara una nueva movida que lo devolverá a los primeros planos. A medida que Liaño relata sus logros pasados y el esplendor verbal se contrasta con su vida modesta de jubilado, surge la verdad: Liaño es un has been que se niega a reconocer su situación y espera equilibrar la balanza con un último golpe de efecto. Del desagrado pasamos a la pena, la admiración y la culpa. Liaño es otro de esos viejos que vemos sentados en las plazas, apartados de un mundo que ya no sabe qué hacer con ellos.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juchitán de las locas ;2002;Largometraje documental ;65; DVCam ; Color;Patricio Henríquez;Español,  Zapoteco;Español y otro;Canadá,  Chile;Chile y otro;México;Otro;Festival Internacional de Documentales deChile; Chile;¿Una sociedad respetuosa de los homosexuales en el país de los machos? Al sur de México, en el itsmo de Tehuantepec, existe una sorprendente y vigorosa cultura zapoteca. Juchitán, una de sus ciudades principales, alberga una sociedad muy especial, especie de mancha negra en el blanco uniforme de la mundialización. En Juchitán no hay Mc Donald´s ni supermercados. La cultura indígena se afirma cotidianamente, las mujeres controlan la economía local... y los homosexuales viven plenamente con el respeto y cariño de los juchitecos. (Fuente: Chile);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sangre eterna ;2002;Largometraje de ficción ;100; 35 mm ; Color;Jorge Olguín;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Carmilla, una estudiante de periodismo, conoce a ""M"" en la clase de filosofía. Este la introduce a un grupo de amigos que participan en un peculiar juego de rol llamado ""Sangre eterna"", a partir del cual, más tarde, conocerán a Dahmer, un sujeto que realiza rituales vampíricos. En estas ceremonias, ""M"" comienza a ver cosas realmente extrañas, como que sus amigos se transformen en vampiros, por lo que buscará la forma de detener la cruzada de Dahmer.(Fuente: Catálogo Dirac)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cofralandes IV – Evocaciones y valses ;2002;Largometraje documental ;87; Mini DV ; Color;Raúl Ruiz;Español;Español;Chile,  Francia;Chile y otro;Chile;Chile;NI;NI;Cuarto capítulo de la serie Cofralandes de Raúl Ruiz. Los actores chilenos Amparo Noguera y Francisco Reyes interpretan a una hermana realista y a un cura patriota respectivamente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estadio Nacional ;2002;Largometraje documental ;111; DvCam|16 mm ; Color Blanco & Negro;Carmen Luz Parot;Español;Español;Chile;Chile;Chile;Chile;NI;NI;Desde el 11 de septiembre hasta el 9 de noviembre de 1973, el Estadio Nacional de Chile fue utilizado como campo de concentración, tortura y muerte. Más de doce mil prisioneros políticos fueron detenidos allí sin cargos ni procesos luego del violento golpe militar contra el gobierno socialista de Salvador Allende. Al menos siete mil personas fueron torturadas impunemente. Este documental, realizado 30 años después, es la primera investigación periodística que entrega una cronología exacta de estos hechos. El trabajo reconstruye, a través de numerosos testimonios la historia de esos días acercándose desde sus aspectos más cotidianos. Se trata también de un exhaustivo trabajo de recopilación de material de archivo. (Catálogo Adoc);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallmapu ;2002;Largometraje documental ;56; MiniDV ; Color;Jeannette Paillán;Mapudungún, ;Otro;Chile;Chile;Chile;Chile;Festival Internacional de Documentales deChile; Chile;Documental de carácter histórico que aborda la temática territorial mapuche enChile En aproximadamente una hora de duración y en base a testimonios de autoridades tradicionales, líderes, historiadores e investigadores se van entregando antecedentes qye buscan aproximar e informar respecto del complejo tema de la pérdida territorial mapuche o del llamdo “conflicto mapuche”. (Fuente: Chile);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mi hermano y yo ;2002;Largometraje documental ;70; Mini DV ; Color;Sergio Gándara;Español;Español;Chile;Chile;Chile;Chile;Festival Internacional de Documentales deChile; Chile;El 13 de agosto de 1999, el cuerpo de Carlos Patricio Farina Oyarce de 13 años fue descubierto. Carlos fue detenido en 1973 durante la dictadura militar de Augusto Pinochet. Durante ese día, su hermano Iván prometió en público que se conocería la historia de Carlito en Chile y el resto del mundo. Este documental es construido por las palabras de sus protagonistas, que tienen la fuerza para decir la historia de una familia destruida según un acto infantil e involuntario. Iván, el hermano menor emprende una búsqueda para reparar su propia amnesia y por unirse de nuevo con su hermano y él. (Fuente: www.adoc.cl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tres noches de un sábado ;2002;Largometraje de ficción ;80; 35 mm ; Color;Joaquín Eyzaguirre;Español;Español;Chile;Chile;Chile;Chile;NI;NI;El carácter seductor de la noche de un sábado, donde pobres y ricos se ven envueltos por igual en la urgencia embriagadora del reloj y de la fiesta, un marinero errante buscando a su mujer y al destinatario de un encargo se transforma en testigo de la acción. Un matrimonio de aniversario proclama públicamente su infidelidad. En la celebración de un ascenso el festejado resulta ser despedido. La traición que se ha instalado como un acto cotidiano. (Fuente: Catálogo Dirac);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El fotógrafo ;2002;Largometraje de ficción ;100; 35 mm ; Color;Sebastián Alarcón;Español;Español;Chile,  España;Chile y otro;Chile;Chile;NI;NI;En 1962, un fotógrafo que trabaja para un periódico de crónica roja deChile, se obsesiona con crear una fotonovela que revolucionará el ambiente artístico. Ayudado por sus vecinos, humillado por sus productores, pero determinado a hacer realidad su ambicioso proyecto, el fotógrafo traicionará -una tras otra- sus inusuales teorías, sus vecinos, colegas, su amor y finalmente a sí mismo.(Fuente: Catálogo Dirac).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antofagasta, el Hollywood de sudamérica ;2002;Largometraje documental ;90; 35 mm ; Color;Adriana Zuanic;Español;Español;Chile;Chile;Chile;Chile;NI;NI;En la época del oro blanco, tres hombres tenían un sueño, convertir aChile en el Hollywood de Sudamérica. Así, en 1927, de las nueve películas chilenas producidas, seis fueron antofagastinas. El documental sobre cine mudo antofagastino de los años veinte, nos presenta una historia viva a través de testimonios en locaciones, recreaciones de época y documentos gráficos y cinematográficos, en unaChile actual que está en la búsqueda de su patrimonio fílmico perdido y en un encuentro con su historia. (Catálogo ADOC);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sudamerican Rockers ;2002;Largometraje documental ;50; Digital ; Color;Eduardo Bertrán;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"En un país distinto, en una época distinta, jóvenes decididos a cambiar el mundo, probaron suerte con sus propias melodías. Llenaron estudios, se tomaron los medios y algunos aún quieren mirar atrás. Este documental recorre la historia del fenómeno del Rock chileno de los años 80, quitándole el polvo a los archivos guardados en el inconsciente de un país dispuesto a olvidar. A través de los ojos de sus propios protagonistas, la historia de bandas como UPA!, Emociones Clandestinas, Cinema, Q.E.P., Pancho Puelma y Los Socios o Viena va quedando descubierta y dejando en claro que la música no se trata solo de lo que sucede en el escenario. Con archivos inéditos, conversaciones históricas y el recuerdo de una época que no se va a repetir ""Sudamerican Rockers"" es la mirada que faltaba a lo que sigue siendo el soundtrack de una generación.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gitanos sin carpa ;2002;Largometraje documental ;62; MiniDV ; Color;Iván Tziboulka;Español;Español;Chile;Chile;Chile;Chile;Festival Internacional de Documentales deChile; Chile;Este documental aborda la vida de cíngaros, en la disyuntiva de conciliar sus tradiciones ancestrales con la tendencia a la integración a la sociedad chilena. El conflictivo intento de integración a la sociedad chilena, sin traicionar las costumbres ancestrales, las distintas formas de sobrevivencia económica y los choques generacionales son mirados a través de una cámara paciente y respetuosa, que no intenta embellecer, concentrándose en lo cotidiano. (Fuente: www.adoc.cl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
