nombre-pelicula;año;tipo-largometraje;duracion-min;tipo-filme;color;director-01;idioma;consol-idioma;lugar-prod;consol-lugar-prod;pais-rodaje;consol-pais-rodaje;lugar-estreno;pais-estreno;sinopsis;Columna1;Columna2;Columna3;Columna4;Columna5;Columna6;Columna7;Columna8;Columna9;Columna10;Columna11;Columna12;Columna13;Columna14;Columna15;Columna16;Columna17;Columna18;Columna19;Columna20;Columna21;Columna22;Columna23;Columna24;Columna25;Columna26;Columna27;Columna28;Columna29;Columna30;Columna31;Columna32;Columna33;Columna34;Columna35;Columna36;Columna37;Columna38;Columna39;Columna40;Columna41;Columna42;Columna43;Columna44;Columna45;Columna46;Columna47;Columna48;Columna49;Columna50;Columna51;Columna52;Columna53;Columna54;Columna55;Columna56;Columna57;Columna58;Columna59;Columna60;Columna61;Columna62;Columna63;Columna64;Columna65;Columna66;Columna67;Columna68;Columna69;Columna70;Columna71;Columna72;Columna73;Columna74;Columna75;Columna76;Columna77;Columna78;Columna79;Columna80;Columna81;Columna82;Columna83;Columna84;Columna85;Columna86;Columna87;Columna88;Columna89;Columna90;Columna91;Columna92;Columna93;Columna94;Columna95;Columna96;Columna97;Columna98;Columna99;Columna100;Columna101;Columna102;Columna103;Columna104;Columna105;Columna106;Columna107;Columna108;Columna109;Columna110;Columna111;Columna112;Columna113;Columna114;Columna115;Columna116;Columna117;Columna118;Columna119;Columna120;Columna121;Columna122;Columna123;Columna124;Columna125;Columna126;Columna127;Columna128;Columna129;Columna130;Columna131;Columna132;Columna133;Columna134;Columna135;Columna136;Columna137;Columna138;Columna139;Columna140;Columna141;Columna142;Columna143;Columna144;Columna145;Columna146;Columna147;Columna148;Columna149;Columna150;Columna151;Columna152;Columna153;Columna154;Columna155;Columna156;Columna157;Columna158;Columna159;Columna160;Columna161;Columna162;Columna163;Columna164;Columna165;Columna166;Columna167;Columna168;Columna169;Columna170;Columna171;Columna172;Columna173;Columna174;Columna175;Columna176;Columna177;Columna178;Columna179;Columna180;Columna181;Columna182;Columna183;Columna184;Columna185;Columna186;Columna187;Columna188;Columna189;Columna190;Columna191;Columna192;Columna193;Columna194;Columna195;Columna196;Columna197;Columna198;Columna199;Columna200;Columna201;Columna202;Columna203;Columna204;Columna205;Columna206;Columna207;Columna208;Columna209;Columna210;Columna211;Columna212;Columna213;Columna214;Columna215;Columna216;Columna217;Columna218;Columna219;Columna220;Columna221;Columna222;Columna223;Columna224;Columna225;Columna226;Columna227;Columna228;Columna229;Columna230;Columna231;Columna232;Columna233;Columna234;Columna235;Columna236;Columna237;Columna238;Columna239;Columna240
Cuando Chaplin enloqueció de amor ;1920;Largometraje de ficción ;50; 35 mm ; Blanco & negro, Muda;Pedro J. Malbrán;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Chaplin –según señala la propaganda de la época- está enamorado de una creatura de ensueño y hasta deja su trabajo para perseguir al objeto de sus amores. Paralelamente se van mostrando las fiestas de la primavera y distintos aspectos de la vida estudiantil: los primeros amores, las casas de pensión, los disfraces baratos, los tontos graves, las bromas pesadas y las ansias revolucionarias. (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uno de abajo ;1920;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Armando Rojas Castro;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"El argumento cuenta la historia de una familia. Un padre, borracho consuetudinario, tiene sumidos en la miseria a los suyos. Un día la hija acude, engañada, a casa de Lola, una tratante de blancas. Su hermano logra rescatarla tras numerosas peripecias y aventuras. El padre muere y la miseria de la familia se agrava. El muchacho se pone a trabajar con ahínco y al poco tiempo logra una envidiable situación económica que la permite casarse con una acaudalada muchacha (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juan de Montemar ;1920;Largometraje de ficción ;NI; 35 mm ; Blanco & negro;Guillermo Canales (II);Muda;Otro;Chile;Chile;Chile;Chile;NI;NI;Su argumento corresponde a un episodio de la guerra del 79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Don Quipanza y Sancho Jote ;1921;Largometraje de ficción ;50; 35 mm ; Blanco & negro, Muda;Carlos Cariola;Español;Español;Chile;Chile;Chile;Chile;NI;NI;El argumento relata las peripecias de dos súbditos de Guata-Guata, que viajan a conquistarChile y los millones de unas solteronas, recurriendo a las más diversas triquiñuelas y ardides para conseguir sus planes (de la propaganda citada por Eliana Jara);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Los payasos se van ;1921;Largometraje de ficción ;NI; 35 mm ; Blanco & negro, Muda;Pedro Sienna;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Es la historia de Rafael, un pintor, que se enamora de la equilibraste de un circo y la sigue de pueblo en pueblo hasta que llegan a una aldea donde viven unos parientes del protagonista. Allí se da cuenta de que no está hecho para la vida errante y se establece definitivamente en el campo. Lo ayuda en su decisión el amor por una prima con la que terminará casándose (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campeonato atlético sud-americano (o El tercer campeonato atlético sudamericano) ;1921;Largometraje documental ;NI; 35mm ; Muda, Blanco & negro;No identificado;Español;Español;Chile;Chile;Chile;Chile;Teatros Setiembre y Brasil;Chile;"Largometraje sobre el campeonato atlético que se llevó a cabo en los Campos de Sports de Ñuñoa. Compitieron Argentina, Uruguay y Chile, y el equipo local fue el que obtuvo el triunfo. El estreno en la capital fue tardío, pues la cinta fue enviada primero al extranjero y a regiones. En 1927 el campeonato volvió a realizarse en Chile, y en esta ocasión debutó la coproducción nacional La película del campeonato atlético. Asimismo, la versión de 1929 llevada a cabo en Perú, fue exhibida en el país con el nombre de 6º Campeonato sudamericano de atletismo. Película perdida. (Del libro ""Sucesos recobrados. Filmografía del documental chileno (1897-1932)"", X. Vergara, A. Krebs, M. Morales, 2021).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Campeonato atlético sud-americano (o El tercer campeonato atlético sudamericano) ;1921;Largometraje documental ;NI; 35mm ; Muda, Blanco & negro;No identificado;Español;Español;Chile;Chile;Chile;Chile;Teatros Setiembre y Brasil;Chile;"Largometraje sobre el campeonato atlético que se llevó a cabo en los Campos de Sports de Ñuñoa. Compitieron Argentina, Uruguay y Chile, y el equipo local fue el que obtuvo el triunfo. El estreno en la capital fue tardío, pues la cinta fue enviada primero al extranjero y a regiones. En 1927 el campeonato volvió a realizarse en Chile, y en esta ocasión debutó la coproducción nacional La película del campeonato atlético. Asimismo, la versión de 1929 llevada a cabo en Perú, fue exhibida en el país con el nombre de 6º Campeonato sudamericano de atletismo. Película perdida. (Del libro ""Sucesos recobrados. Filmografía del documental chileno (1897-1932)"", X. Vergara, A. Krebs, M. Morales, 2021).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galán duende ;1922;Largometraje de ficción ;50; 35 mm ; Blanco & negro, Muda;Nicolás Novoa Valdés;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Aventuras de un hijo de un acaudalado industrial, enamorado de la hija de un inventor que ha descubierto un método para abaratar los costos de explotación del salitre. La historia se complica cuando la secretaria del industrial, que ama secretamente al protagonista, se roba los planos originales exigiendo que se case con ella a cambio de su devolución. Las tribulaciones parecen haber llegado a su clímax, pero un grupo de amigos logra recuperar los documentos y encarcelar a la aventurera (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pájaros sin nido ;1922;Largometraje de ficción ;50; 35 mm ; Blanco & negro, Muda;Carlos Cariola;Español;Español;Chile;Chile;Chile;Chile;NI;NI;"Es la historia de cuatro niños cuyos destinos están estrechamente vinculados al ambiente sórdido en que se desenvuelven. Una niña raptada a sus padres cuando pequeña se convierte en una mujer buena gracias al amor de un hombre honrado que la hace sus esposa. Una segunda, que vive en el mayor desamparo convertida en una golfa. Un tercer niño, criado por un bandido, corre la misma suerte del protector. Y por último, un huérfano recogido por una familia bien constituida es un ser útil a la sociedad. (En libro ""Cine mudo chileno"". Eliana Jara Donoso.Chile, 1994)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
El raid aéreoChile-Río de Janeiro (o RaidChile-Río de Janeiro) ;1922;Largometraje documental ;60; 35 mm ; Blanco & negro, Muda;Esteban Artuffo;Español;Español;Brasil,  Chile;Chile y otro;Brasil, Chile;Chile y otro;Sala Imperio;Chile;"Filmación de un hito de la aviación nacional: el raid entre Chile y Brazil, protagonizado por el capitán Aracena, que se prolongó por 2 semanas (agosto-septiembre); 37 horas de vuelo; 3.700 Kms. recorridos. El documental comienza con actividades en la Escuela de Aviación chilena, los preparativos del vuelo, sigue con tomas deChile y sus alrededores, continúa con el viaje y la llegada a Brasil, el recorrido por algunas de sus ciudades y, finalmente, el retorno triunfal de nuestros coterráneos a la patria. El objetivo de la travesía fue llevar al primer mandatario brasilero los saludos de su par chileno (Arturo Alessandri) con motivo del Centenario de la República Verdeamarela";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
