PELÍCULA;Nombre Actor Protagonista;Género actor protagonista;Nombre Actor Secundario;Género actor secundario
Invierno;Pablo Cerda;M;Katherine Salosny;F

El club;Alfredo Castro;M;Antonia Zegers;F

Perla;Sergio Castilla;M;Alison Mandel;F

Razones para amarla;Pablo Fuentes Leal;M;Camila Gallardo;F

El Bosque de Karadima;Benjamín Vicuña;M;Luis Gneco;M

Joselito;Cristian Flores;M;José Soza;M

Vitae;Sebastián Villegas;M;Marion Olea;F

Gritos del bosque;Fernanda Urrejola;F;Pualo Brunetti;M

Allende en su laberinto;Daniel Muñoz;M;Aline Kuppenheim;F

Héroes;Frabrizio Copano;M;Juanita Ringeling;F

Matar a un hombre;Daniel Candia;M;Daniel Antivilo;M

Fuerzas Especiales;Rodrigo Salinas;M;Sergio Freire;M

El mago;Jean Paul Olhaberry;M;Ingrid Insensee;F

Soy mucho mejor que voh;Sebastian Brahm;M;Nicolás Alaluf;M

Paréntesis 9;Juanita Ringeling;F;Ramon LLao;M

Brillantes;Fernando Larraín;M;Alvaro Rudolphy;M

Mamá ya crecí;Katy Kowalezcko;F;Sebastian Badilla;M

Videoclub;Pedro Campos;M;Luciana Echgevería;F

Cirqo;Roberto Farías;M;Iván Álvarez de Araya;M

El tío;Ignacio Santa Cruz;M;Mateo Iribarren;M

El derechazo;Andrea Munizaga;F;Renata Bravo;F

Apio verde;Catherine Mazoyer;F;Cristián Gajardo;M

La Mujer de Iván;Marcelo Alonso;M;María de los ángeles García;F

El ciudadano Kramer;Stefan Krammer;M;Javier Estévez;M

Raíz;Mercedes Mujica;F;Elsa Poblete;F

Barrio universitario;Fabrizio Copano;M;Pedro Ruiminot;M

El verano de los peces voladores;Gregory Cohgen;M;Francisca Walker;F

Gloria;Paulina García;F;Sergio Hernbández;M

La pasión de Michelangelo;Sebastián Ayla;M;Patricio Contreras;M

El futuro;Manuela Martelli;F;Rutger Hauer;F

Qué pena tu familia;Ariel Levy;M;Andrea Velasco;F

No;Gael García;M;Luis Gnecco;M

Mi último round;Roberto Farías;M;Héctor Morales;M

Aftershock;Eli Roith;M;Andrea Osvárt;F

Tráiganme la cabeza de la mujer metralleta;Fernanda Urrejola;F;Matías Oviedo;M

