Película ;Año;Duración ;Dirección;Guion;Casa productora;País coproducción;Lugar de estreno;País de estreno
Mi amigo Alexis;2019;82;Alejandro Fernández Almendras;Josefina Fernández;Fábula;Chile;Estreno en salas;Chile
No quiero ser tu hermano ;2019;115;Gonzalo Badilla;"
Gonzalo Badilla
Sebastián Badilla";Bufonada;Chile;Estreno en salas;Chile
;;;;;;;;
;;;;;;;;
Cola de mono;2018;102;Alberto Fuguet;Alberto Fuguet;Cinepata, Masa Madre, Matriarca Films;Chile;Estreno en salas;Chile
El despertar de Camila;2018;89;Rosario Jiménez-Gili;"Gonzalo Gorigoitía
Pamela Chován
Rosario Jiménez-Gili";Las minas;Chile;Estreno en salas;Chile
La salamandra;2018;120;Sebastián Araya;Sebastian Araya;Afro films;Chile;Estreno en salas;Chile
No estoy loca;2018;116;Nicolás López;"Guillermo Amoedo
Nicolás López";Sobras producciones;Chile;Estreno en salas;Chile
La isla de los pingüinos ;2017;105;Guillermo Sohrens;"
Guille Söhrens
Javier Muñoz Percherón
Javiera Moraga";Salmón Cine;Chile;FICValdivia;Chile
…Y de pronto el amanecer;2017;195;Silvio Caiozzi;"Jaime Casas
Silvio Caiozzi";"
Guadalupe Bornard
Silvio Caiozzi";Chile;Festival de Cine del Mundo de Montreal;Canadá
Los perros;2017;94;Marcela Said;Marcela Said;"Cinema Defacto
Jirafa films";Francia, Chile;Festival de Cine de Cannes;Francia
Un día cualquiera;2017;100;"Elisa Zulueta
Álvaro Viguera
Aranzazú Yankovic
Héctor Morales 
Sebastián Brahm";"Sebastián Brahm 
Catalina Calcagni
 Daniel Villalobos
 Antonio Zisis
Paula Del Fierro";Cow Company, Play Films;Chile;Estreno en salas;Chile
Reinos;2017;79;Pelayo Lira;"Pelayo Lira
Romina Reyes";"Cangrejo Films
Niebla Producciones";Chile;Festival de Cine de Buenos Aires;Argentina
Princesita ;2017;78;Marialy Rivas;"
Camila Gutiérrez
Marialy Rivas";Fábula;Chile, Argentina y España;Festival de Cine de Toronto;Canadá
La memoria de mi padre;2017;86;Rodrigo Bacigalupe;"
Rodrigo Bacigalupe ";"NMD Films
Cine Sur";Chile;Festival de Cine de Málaga;España
Johnny 100 pesos, capítulo dos;2017;113;Gustavo Graef-Marino ;Patricio Lynch;"
Bandera Brothers Entertainment 
Filmosonido
Passport Films";Chile y Estados Unidos;Estreno en salas;Chile
Cabros de mierda ;2017;118;Gonzalo Justiniano;Gonzalo Justiniano;"
Sahara Films Producciones S.A.";Chile;Estreno en salas;Chile
Érase una vez, muy lejos de Liverpool;2017;65;Sebastián Peralta;Sebastián Peralta;"
Extrauverrifilms";Chile;Estreno en salas;Chile
